"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0036214",2212.12652639664,0.201321523738972,0.55674606231317,0.361603857425628,0.717648081669062,0.999971443512753
"FBgn0014931",754.148465486084,-0.0157997638333919,0.262046624466757,-0.0602937124854905,0.951921709547036,0.999971443512753
"FBgn0014930",2762.02150272788,0.0504969083228842,0.0760731389374865,0.663794198953461,0.506822039044569,0.999971443512753
"FBgn0032868",5179.469040078,0.466260937049794,0.890255507082145,0.523738335051682,0.600460548484406,0.999971443512753
"FBgn0264483",1.74877881811885,0.209202303590763,1.20691667091588,0.173336162000322,0.862387200713461,0.999971443512753
"FBgn0027562",3031.63310853229,0.0950435711636074,0.373923468475957,0.254179208250788,0.799357112644052,0.999971443512753
"FBgn0027563",1539.51238266825,-0.0587067518307009,0.308972743511906,-0.190006248329276,0.849304234267875,0.999971443512753
"FBgn0027560",117166.702400914,-0.271523744079713,0.240885633798268,-1.12718944587249,0.259662391806621,0.999971443512753
"FBgn0027561",13276.18483644,-0.0841686132129671,0.0414404170464741,-2.03107543822676,0.0422473426125667,0.92957842068747
"FBgn0027567",25608.5704665517,-0.0712414575777622,0.169288255168075,-0.420829297974814,0.673879736069981,0.999971443512753
"FBgn0027564",3203.45062363083,-0.189335361703517,0.0508225069538264,-3.72542349938647,0.00019498758219574,0.0281532284139874
"FBgn0027565",4299.7120980306,0.0952604322927881,0.143316961493943,0.664683588737777,0.506252892717232,0.999971443512753
"FBgn0027568",10451.4021789749,-0.00907993224912508,0.0285897408020586,-0.317594073761987,0.750792870032299,0.999971443512753
"FBgn0027569",8599.05600219975,0.0436432266260358,0.0989467669583557,0.441077843851171,0.659156642842488,0.999971443512753
"FBgn0266044",47.4776368179551,0.14492320401053,0.23945208415748,0.605228409351489,0.545027241837198,0.999971443512753
"FBgn0266045",1.7775483494891,-1.13214914183686,0.946560434371079,-1.19606641132121,0.231670643901478,0.999971443512753
"FBgn0266046",497.707073704825,0.0772835997380983,0.208723713071365,0.370267463149594,0.711183214368021,0.999971443512753
"FBgn0266047",4.89182161661602,-0.467504003481521,0.468795758007608,-0.99724452599235,0.318645833140515,0.999971443512753
"FBgn0266040",37.5674555221344,0.288318168100741,0.936468639580957,0.307878081459039,0.758175104679626,0.999971443512753
"FBgn0010438",3787.64775084782,0.00642670878963189,0.338355508722215,0.0189939534719032,0.984845928971351,0.999971443512753
"FBgn0266042",552.788077014296,-0.155724237871145,0.144339624837208,-1.07887378844705,0.280643995075679,0.999971443512753
"FBgn0266043",6.63037705938402,-0.288542196867809,0.589747464334376,-0.489263988940545,0.624654812349962,0.999971443512753
"FBgn0266048",9.56000429706418,-0.410367593506657,0.359893585163822,-1.14024703530034,0.254183396862332,0.999971443512753
"FBgn0266049",7.76146394539355,0.816580440686973,0.504490714818257,1.61862332982907,0.105528332304114,0.999971443512753
"FBgn0267463",280.224481847387,0.016864744386067,0.431670097777503,0.0390685953761838,0.968835699103857,0.999971443512753
"FBgn0037356",3479.59956849229,-0.195353281594052,0.0887739651296939,-2.20056951729769,0.0277665135437034,0.771657062777766
"FBgn0262057",5048.00248795622,-0.0176538070314204,0.176522640133994,-0.100008741190478,0.920337385773319,0.999971443512753
"FBgn0030645",837.160666425564,-0.00808043598326094,0.07017683858087,-0.115143915665982,0.908331051696598,0.999971443512753
"FBgn0040354",0.917765878012042,1.82415982324833,1.03535191150666,1.76187420236062,0.0780905541793015,0.999971443512753
"FBgn0085218",232.169723396218,0.00652237876383734,0.42140959481986,0.0154775279063721,0.987651212479385,0.999971443512753
"FBgn0085219",27.7566376818169,0.165385316165537,0.325265502198837,0.508462517689428,0.611129018913996,0.999971443512753
"FBgn0010435",26966.8578174357,-0.193202674536049,0.227548186256468,-0.8490626874006,0.39584641128784,0.999971443512753
"FBgn0259482",2491.16860279872,0.0971986367270115,0.126732122405771,0.766961326630361,0.443104509455371,0.999971443512753
"FBgn0033579",471.238226334749,-0.0555876510786665,0.270168669867028,-0.205751655460367,0.836984906477069,0.999971443512753
"FBgn0085210",440.627276411446,-0.108473791889625,0.808316793076939,-0.134197127683947,0.893246697145272,0.999971443512753
"FBgn0085211",356.178699208392,0.132360762620557,0.79294244299463,0.166923543808151,0.867430207768026,0.999971443512753
"FBgn0085212",1195.69089527147,0.0905630615787839,0.103557426030314,0.874520206327584,0.38183502103536,0.999971443512753
"FBgn0085213",3.39558742036416,1.20593910908351,0.580014437310042,2.07915360637632,0.0376032342822145,0.884532563949336
"FBgn0085214",4.42945762935356,0.22559261718591,0.786922082667432,0.286677197342356,0.774359498950074,0.999971443512753
"FBgn0040353",15.3465757977535,-0.204126760278766,0.48796991258625,-0.418318332777711,0.675714387592571,0.999971443512753
"FBgn0262899",2071.34218712246,0.077088066647337,0.924680546894173,0.0833672416990508,0.9335595351493,0.999971443512753
"FBgn0033434",8804.16463968146,0.0132361441458074,0.112055804899556,0.118121003705894,0.905971781405068,0.999971443512753
"FBgn0036117",2530.87058341177,-0.030389871366554,0.152175209684721,-0.199703167352397,0.841712736485803,0.999971443512753
"FBgn0266102",157.94353083161,0.0662581089876313,0.142588949520864,0.464679129836328,0.642161256119659,0.999971443512753
"FBgn0036111",30541.5926367495,-0.0956384937637633,0.156112173292174,-0.612626752590073,0.540123164830278,0.999971443512753
"FBgn0036110",2299.05111203723,0.330546366196832,0.633584323787347,0.521708561570685,0.601873262689267,0.999971443512753
"FBgn0036112",3.22456843829743,-0.559680163197691,0.725427677598912,-0.771517520602705,0.440400241447471,0.999971443512753
